127.0.0.1, 2017-04-26 20:58:56, GET, /admin/default/site, HTTP/1.1, 200, 0.090023
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/default/index, HTTP/1.1, 200, 0.020482
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.001640
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.001209
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.002332
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000912
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000517
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000473
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000546
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000545
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000522
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000565
127.0.0.1, 2017-04-26 20:58:58, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000562
127.0.0.1, 2017-04-26 20:59:02, GET, /admin/default/site, HTTP/1.1, 200, 0.099749
127.0.0.1, 2017-04-26 20:59:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.041986
127.0.0.1, 2017-04-26 21:00:12, GET, /places, HTTP/1.1, 404, 0.000550
127.0.0.1, 2017-04-26 21:00:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2017-04-26 21:00:19, GET, /places/, HTTP/1.1, 404, 0.000515
127.0.0.1, 2017-04-26 21:00:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000408
127.0.0.1, 2017-04-26 21:00:23, GET, /places/, HTTP/1.1, 404, 0.000556
127.0.0.1, 2017-04-26 21:00:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
127.0.0.1, 2017-04-26 21:02:16, GET, /places/, HTTP/1.1, 404, 0.000540
127.0.0.1, 2017-04-26 21:02:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000461
127.0.0.1, 2017-04-26 21:02:18, GET, /places/, HTTP/1.1, 404, 0.000647
127.0.0.1, 2017-04-26 21:02:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2017-04-26 21:11:02, GET, /places/, HTTP/1.1, 200, 1.450540
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000660
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/js/jquery.js, HTTP/1.1, 200, 0.000664
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000625
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/css/calendar.css, HTTP/1.1, 200, 0.000709
